title,upload_date,views,likes,comments,introduction
Encryption & Entropy - Computerphile,2022-11-09,34774,1498,60,"Information theory shows entropy works a little differently with encryption. Dr Tim Muller takes us through an example
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Network Time Protocol (NTP) - Computerphile,2022-11-04,105958,4545,233,"Just how do computers synchronise clocks across the Internet? Dr Julian Onions implemented this at Nottingham after meeting the godfather of Internet time, Dave Mills!
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Markov Decision Processes - Computerphile,2022-10-26,72439,2337,86,"Deterministic route finding isn't enough for the real world - Nick Hawes of the Oxford Robotics Institute takes us through some problems featuring probabilities. Nick used an example from Mickael Randour: 
https://bit.ly/C_MickaelRandour
 This video was previously called ""Robot Decision Making""
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Stable Diffusion in Code (AI Image Generation) - Computerphile,2022-10-21,128887,5310,306,"Mike Continues his look at AI Image Generation with Stable DiffusionMike's code: 
https://colab.research.google.com/dri...
 Jonathan: 
https://twitter.com/johnowhitaker/sta...
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Uses of Information Theory - Computerphile,2022-10-15,58671,1975,139,"Looking at some real world uses of information theory with Dr Tim Muller 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
How AI Image Generators Work (Stable Diffusion / Dall-E) - Computerphile,2022-10-04,361837,14000,477,"AI image generators are massive, but how are they creating such interesting images? Dr Mike Pound explains what's going on. Thumbnail image partly created by DALL-E with the prompt: ""Computerphile YouTube Video presenter Mike Pound Explains Diffusion AI methods thumbnail with green computer style title text on a black background with grey binary""
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Model Driven Software Engineering - Computerphile,2022-09-21,78972,2572,245,"Visit 
https://bit.ly/Scaler_Computerphile
 to take the free live classCould having more bespoke programming languages speed up software development? Dr Steffen Zschaler, Reader in Computer Science at KCL thinks so.  
#scaler
 
#createimpact
 
#collaboration
 
#ad
 More information from Dr Zschaler:MDENet, the expert network on MDE: www.mde-network.orgGitHub repository for the GridGame language shown in the video (includes the Minesweeper and Game of Life examples as well as Wireworld): 
https://github.com/szschaler/GridGames
Xtext, the language workbench used to develop GridGame: 
https://www.eclipse.org/Xtext/
Steffen Zschaler’s webpage: www.steffen-zschaler.de
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Alternative Uses for Blockchain - Computerphile,2022-09-14,122695,3918,346,"Blockchain has a controversial reputation, linked as it is to cryptocurrency but Professor Peter McBurney of Kings College London thinks it's an important an invention as the web itself. This video was initially titled ""Blockchain Benefits"" to reflect Prof McBurney's talk
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Knowledge Graphs - Computerphile,2022-09-07,64385,2248,62,"Knowledge graphs help computers make sense of data for search, recommendations and other AI tasks, Professor Elena Simperl of Kings College London explains.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
SLAM Robot Mapping - Computerphile,2022-08-31,73938,2157,117,"Thanks to Jane Street for their support... Check out internships here: 
https://bit.ly/computerphile-janestreet
 More links & stuff in full description below ↓↓↓This video features the Oxford Robotics Institute demonstrating their SLAM algorithm with their frontier device and the Boston Dynamics Spot robot. Thanks to Marco Camurri & Michal Staniaszek for their time. Last time we met spot: 
https://www.youtube.com/watch?v=cQhsb...
 Joining Point Clouds with Iterative Closest Point: 
https://www.youtube.com/watch?v=4uWSo...
 JANE STREET... Applications for Summer 2023 internships are open and filling up... Roles include: Quantitative Trading, Software Engineering, Quantitative Research and Business Development... and more.Positions in New York, Hong Kong, and London.
https://bit.ly/computerphile-janestreet
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Coffee with Brian Kernighan - Computerphile,2022-08-17,162471,5734,326,"Welcoming back the legend that is Professor Brian Kernighan! Professor Brailsford invites Brian for coffee and a chat. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Automated Mathematical Proofs - Computerphile,2022-08-10,70888,2286,242,"Could a computer program find Fermat's Lost Theorem? Professor Altenkirch shows us how to get started with lean.EXTRA BITS (A deeper dive into automated proofs) : 
https://youtu.be/PaKHRfSkhnA
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Scratch? Python? C? Kernighan on Languages for Kids Coding - Computerphile,2022-08-02,127661,5099,595,"We asked Brian Kernighan (author of 'C Programming Language') what language kids should try first. Coffee with Kernighan: Coming Soon
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Tricking AI Image Recognition - Computerphile,2022-07-27,104729,4316,391,"AI Object detection is getting better and better, but as Dr Alex Turner demonstrates, it's far from perfect, and it doesn't recognise things in the same way as us. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Computing with Soft Robots - Computerphile,2022-07-21,46324,1977,70,"Even the most impressive soft robots have an external control system. What if the software could be running on soft hardware? - Associate Professor Perla Maiolino explains the soft logic in soft robots. ORI Soft Robots group:Perla Maiolino (speaker)Liang HeSihan Wang (Demonstrator)Francesco GrellaPeizhi ZhangOliver Shorthose ORI Soft Robots Group Website: 
https://bit.ly/C_Oxford-SoftRobots
  
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
LaMDA Logic - Computerphile,2022-07-18,67420,2587,608,"Discussing the philosophical ideas behind AI Sentience, with Professor Mark Jago, Professor of Philosophy at University of Nottingham.Mark’s Philosophy and Logic channel is here: 
https://bit.ly/C_AtticPhilo
 Previous Computerphile Videos featuring Mark:
https://youtu.be/macM_MtS_w4
https://youtu.be/dNRDvLACg5Q
Mike Pound on LaMDA: 
https://youtu.be/iBouACLc-hw
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Reverse Engineering - Computerphile,2022-07-08,133356,4928,291,"You just have the binary - can you work out what it does & how? Dr Steve Bagley talks about how you might reverse engineer a piece of software.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
"No, it's not Sentient - Computerphile",2022-06-18,814955,31000,3680,"A google researcher was put on leave because he apparently believed his AI project had become sentient. Dr Mike Pound discusses.Philosophy Professor Mark Jago on LaMDA: 
https://youtu.be/ONloZfZEbUE
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
